阅读量,评价数,标题,情感,详情页,作者,最后更新,影响力,文章内容,评价
1073,3,看这屁量就是出货初期阶段。,负,"http://guba.eastmoney.com/news,000001,895222521.html",把你推倒,2020/12/31 10:55,35,,跑吧？-----银行不拉感觉大市上不去啊-----银行不拉感觉大市上不去啊-----印花
753,0,这走势是要套人的节奏草泥马,负,"http://guba.eastmoney.com/news,000001,895238693.html",A股寻雷,2020/12/31 10:29,25,,
1027,4,这只票的稳定性好差啊！属于小盘次新股,负,"http://guba.eastmoney.com/news,000001,895237107.html",干兴仔玩绿啤,2020/12/31 10:27,2,,3000多亿市值的小盘？？哈哈哈-----3000多亿市值的小盘？？哈哈哈-----他目前这个股性与小盘股有区别吗-----看月线，平安银行也是银行股的异类，确实能涨不过能涨的前提是非常能跌，这是平安银行与招商、宁波的不同或者叫差距-----你说中信属于什么盘？
862,0,平安银行就是砸盘工具,负,"http://guba.eastmoney.com/news,000001,895226951.html",股友ey6uPt,2020/12/31 10:11,2,,
811,0,瓜皮,负,"http://guba.eastmoney.com/news,000001,895226795.html",陈二刀,2020/12/31 10:11,5,,
856,0,你最辣鸡,负,"http://guba.eastmoney.com/news,000001,895226080.html",三十年小韭菜,2020/12/31 10:10,2,,
809,0,哈哈。一地鸡毛。还好上周五我跑了。平安银行真的是垃,负,"http://guba.eastmoney.com/news,000001,895224902.html",我才不当韭菜,2020/12/31 10:09,15,,
757,0,丢人啊,负,"http://guba.eastmoney.com/news,000001,895225381.html",回本从此不看,2020/12/31 10:08,1,,
770,1,马上开砸,负,"http://guba.eastmoney.com/news,000001,895223042.html",A股寻雷,2020/12/31 10:05,25,,走了，你们搞吧！还好标地呢，瞎包
741,0,垫底了,负,"http://guba.eastmoney.com/news,000001,895219882.html",期盼幸运降临,2020/12/31 10:02,2,,
799,0,这个平安一点都不平安,负,"http://guba.eastmoney.com/news,000001,895211050.html",曾1997,2020/12/31 9:47,5,,
1560,1,早上割了你，一气之下均线吸了中兴证券，收盘终于扬眉,负,"http://guba.eastmoney.com/news,000001,895101588.html",般若弥陀,2020/12/30 15:25,1,,明天割证券，买银行，你就那韭菜
1221,0,你怎么不平安了,负,"http://guba.eastmoney.com/news,000001,895091663.html",股友pJyqYH,2020/12/30 14:59,15,,
1220,0,银行股我只持有你这一支了，今天不给力了[哭],负,"http://guba.eastmoney.com/news,000001,895089245.html",王怀仁,2020/12/30 14:56,25,,
1182,0,银行彻底被抛弃，都去买证券,负,"http://guba.eastmoney.com/news,000001,895065691.html",股友Griffith,2020/12/30 14:25,2,,
959,0,真他妈的浪费行情,负,"http://guba.eastmoney.com/news,000001,895050708.html",溜溜呦呦,2020/12/30 13:58,2,,
1162,2,为啥银行股都在涨，你却砸盘什么意思,负,"http://guba.eastmoney.com/news,000001,895039823.html",股友5SHN9D,2020/12/30 13:38,2,,招行也在跌，贷款利率下调利空银行-----出货
863,0,合作一点OK?,负,"http://guba.eastmoney.com/news,000001,895034967.html",Feng无忧,2020/12/30 13:29,15,,
1039,1,这又怎么了？不让人好好过年的节奏,负,"http://guba.eastmoney.com/news,000001,894936853.html",旭日东升之晟哥,2020/12/30 9:36,1,,-----
2260,0,"小散应尽快离场,将钱交给机构买矛台军工宁波招行科大",负,"http://guba.eastmoney.com/news,000001,894786394.html",依故历史,2020/12/28 22:48,4,,
2827,0,2019年上半年，平安银行计提资产减值损失合计272.04亿,负,"http://guba.eastmoney.com/news,000001,894736368.html",郭县令,2020/12/28 0:31,2,,
2088,0,一般四季度净利润都小于前每个季度。,负,"http://guba.eastmoney.com/news,000001,894735868.html",郭县令,2020/12/28 0:16,2,,
1740,0,还好早上趁势闪人了,负,"http://guba.eastmoney.com/news,000001,894715181.html",杨二郎2020,2020/12/27 20:17,15,,
1321,0,买你，没赚过一次钱！,负,"http://guba.eastmoney.com/news,000001,894651167.html",股友LWF3gP,2020/12/27 14:57,2,,
1260,0,下来吧别装了。2点半大跳水,负,"http://guba.eastmoney.com/news,000001,894631169.html",三十年小韭菜,2020/12/27 14:33,2,,
1198,0,沃糙,负,"http://guba.eastmoney.com/news,000001,894627587.html",今年收益必翻2翻,2020/12/27 14:29,3,,
1101,0,量能不足，当小心,负,"http://guba.eastmoney.com/news,000001,894589651.html",ja叶子,2020/12/27 13:31,25,,
1446,2,估计又要向下走了。,负,"http://guba.eastmoney.com/news,000001,894289360.html",三十年小韭菜,2020/12/26 11:36,2,,改革开放四十年，你炒股三十年赚啦不少啊----------金融行业竞争将加剧。
1427,1,大盘双头将成立，清仓,负,"http://guba.eastmoney.com/news,000001,894204562.html",股友DNLKkQ,2020/12/26 8:23,25,,绝对不可能。看看药玻吧
1296,1,外资没干活，大A就歇菜了,负,"http://guba.eastmoney.com/news,000001,894054441.html",猛牛2019,2020/12/25 17:59,35,,A没有外资，就失去了动力和方向
1090,0,垃圾内地鸡狗玩尾盘拉。,负,"http://guba.eastmoney.com/news,000001,894121036.html",水镜zzz,2020/12/25 14:59,3,,
1063,0,尾盘拉升，次日略高开的，都是出货股,负,"http://guba.eastmoney.com/news,000001,894112048.html",風雾霾,2020/12/25 14:45,25,,
1003,0,真是个垃圾,负,"http://guba.eastmoney.com/news,000001,894106600.html",股友D6bYWs,2020/12/25 14:37,5,,
864,0,大盘跌了，见15,负,"http://guba.eastmoney.com/news,000001,894102682.html",風雾霾,2020/12/25 14:32,25,,
849,0,去买铁路,负,"http://guba.eastmoney.com/news,000001,894099710.html",風雾霾,2020/12/25 14:27,25,,
930,0,估计又要调整一个月,负,"http://guba.eastmoney.com/news,000001,894076577.html",風雾霾,2020/12/25 13:45,25,,
878,0,平安已不在平安,负,"http://guba.eastmoney.com/news,000001,894071670.html",古月BOSS,2020/12/25 13:35,5,,
1150,2,为啥跳水呢,负,"http://guba.eastmoney.com/news,000001,894062913.html",期盼幸运降临,2020/12/25 13:33,2,,板块上去了，你却下来了，，什么意思呀？-----连空头大本营中石化也打压不下来，银行股洗洗睡吧！-----
859,0,这货要跌到什么时候？,负,"http://guba.eastmoney.com/news,000001,894070154.html",优质上升主流股,2020/12/25 13:32,2,,
818,0,今天你们全逃了,负,"http://guba.eastmoney.com/news,000001,894037115.html",股友Griffith,2020/12/25 11:27,2,,
835,0,啥情况，大家都在助攻大盘拉升你咋掉头向下,负,"http://guba.eastmoney.com/news,000001,894030467.html",目标百万888,2020/12/25 11:11,2,,
1089,0,平安银行，尾盘指数大跳水。危险,负,"http://guba.eastmoney.com/news,000001,893848286.html",小明同学9号,2020/12/24 14:19,4,,
857,0,巨大压单，谁来收了他们,负,"http://guba.eastmoney.com/news,000001,893814025.html",基民eSusOr,2020/12/24 13:12,1,,
783,0,这个垃圾，真是够了,负,"http://guba.eastmoney.com/news,000001,893790122.html",梁芮和,2020/12/24 11:22,2,,
877,1,赶紧跑赶紧跑，要大跌了！！！,负,"http://guba.eastmoney.com/news,000001,893782893.html",我才不当韭菜,2020/12/24 11:08,15,,平安夜，买平安，一生得平安！
842,1,赶紧卖听我的不会错,负,"http://guba.eastmoney.com/news,000001,893778577.html",股友wWCD1E7260,2020/12/24 10:58,25,,你特么天天喊卖，却一直都在
790,0,这都不跑，要跌了→_→,负,"http://guba.eastmoney.com/news,000001,893774285.html",夜七郎,2020/12/24 10:51,15,,
814,0,股市的活雷锋 毫不利己专门利人,负,"http://guba.eastmoney.com/news,000001,893764434.html",梅事聊,2020/12/24 10:37,3,,
1036,0,这个垃圾玩意,负,"http://guba.eastmoney.com/news,000001,893613790.html",股友D6bYWs,2020/12/23 14:55,5,,
1139,1,快丢,负,"http://guba.eastmoney.com/news,000001,893595504.html",股友Bl4Dpl,2020/12/23 14:33,1,,崩盘呀
1110,0,短期缩量见顶，跑步离场,负,"http://guba.eastmoney.com/news,000001,893574031.html",姚某某某某,2020/12/23 13:50,15,,
1091,0,最他妈垃圾,负,"http://guba.eastmoney.com/news,000001,893568594.html",溜溜呦呦,2020/12/23 13:37,2,,
987,0,无论一月是否能提前启动，，本周反正都是只跌不涨。,负,"http://guba.eastmoney.com/news,000001,893543286.html",把你推倒,2020/12/23 11:38,35,,
1143,3,平安银行位置太高了，需回调三分之一,负,"http://guba.eastmoney.com/news,000001,893499164.html",曾经的MG,2020/12/23 10:25,15,,大国重器数字货币300468-----你这唱空的太想当然了-----那你就等着吧
747,0,垃圾，最垃圾,负,"http://guba.eastmoney.com/news,000001,893493940.html",溜溜呦呦,2020/12/23 10:16,2,,
743,0,平银为啥还绿，招行都红了,负,"http://guba.eastmoney.com/news,000001,893490961.html",股友ey6uPt,2020/12/23 10:12,2,,
813,1,去尼玛的全部卖了就是不涨,负,"http://guba.eastmoney.com/news,000001,893485990.html",股友wWCD1E7260,2020/12/23 10:04,25,,因为我还在
1603,4,尾盘卖出了平安 买进了华谊兄弟》,负,"http://guba.eastmoney.com/news,000001,892428680.html",肥克,2020/12/22 11:59,4,,短线注意风险，长期不看好-----！-----华谊你也敢买-----好
1630,1,尾盘必拉，减仓要快,负,"http://guba.eastmoney.com/news,000001,893186742.html",風雾霾,2020/12/20 20:10,25,,不减了，留着过年算了。
